couple,condition,start_frame,trial
1,1,507,trial1
1,2,489,trial2
2,1,0,trial1
2,2,403,trial2
3,1,406,trial1
3,2,387,trial2
4,1,419,trial1
4,2,398,trial2
5,1,358,trial1
5,2,387,trial2
6,1,546,trial1
6,2,373,trial2
7,1,507,trial1
7,2,388,trial2
8,1,384,trial1
8,2,341,trial2
9,1,392,trial1
9,2,357,trial2
10,1,376,trial1
10,2,339,trial2
11,1,358,trial1
11,2,345,trial2
12,1,231,trial1
12,2,327,trial2
14,1,402,trial1
14,2,358,trial2
15,1,392,trial1
15,2,375,trial2
16,1,401,trial1
16,2,775,trial2
18,1,352,trial1
18,2,374,trial2
19,1,371,trial1
19,2,342,trial2
21,1,343,trial1
21,2,250,trial2
22,1,240,trial1
22,2,256,trial2
23,1,240,trial1
23,2,210,trial2
24,1,391,trial1
24,2,355,trial2
28,1,236,trial1
28,2,238,trial2
29,1,391,trial1
29,2,337,trial2
30,1,243,trial1
30,2,241,trial2
31,1,343,trial1
31,2,1875,trial2
32,1,351,trial1
32,2,372,trial2
33,1,367,trial1
33,2,369,trial2
34,1,245,trial1
34,2,231,trial2
35,1,370,trial1
35,2,347,trial2
37,1,222,trial1
37,2,222,trial2
81,1,308,trial0
81,2,322,trial1
81,3,328,trial2
82,1,347,trial0
82,2,319,trial1
82,3,434,trial2
83,1,238,trial0
83,2,198,trial1
83,3,209,trial2
84,1,208,trial0
84,2,373,trial1
84,3,292,trial2
85,1,350,trial0
85,2,350,trial1
85,3,375,trial2
87,1,318,trial0
87,2,349,trial1
87,3,331,trial2
88,1,314,trial0
88,2,357,trial1
88,3,344,trial2
89,1,332,trial0
89,2,435,trial1
89,3,335,trial2
90,1,203,trial0
90,2,258,trial1
90,3,322,trial2
91,1,363,trial0
91,2,1675,trial1
91,3,482,trial2
92,1,338,trial0
92,2,321,trial1
92,3,326,trial2
93,1,83,trial0
93,2,250,trial1
93,3,225,trial2
94,1,401,trial0
94,2,239,trial1
94,3,258,trial2
95,1,114,trial0
95,2,224,trial1
95,3,213,trial2
96,1,200,trial0
96,2,250,trial1
96,3,250,trial2
97,1,452,trial0
97,2,125,trial1
97,3,340,trial2
98,1,424,trial0
98,2,1050,trial1
98,3,347,trial2
101,1,200,trial0
101,2,242,trial1
101,3,213,trial2
102,1,350,trial0
102,2,291,trial1
102,3,298,trial2
103,1,239,trial0
103,2,249,trial1
103,3,273,trial2
104,1,350,trial0
104,2,240,trial1
104,3,256,trial2
105,1,224,trial0
105,2,231,trial1
105,3,391,trial2
106,1,223,trial0
106,2,225,trial1
106,3,241,trial2
107,1,218,trial0
107,2,237,trial1
107,3,243,trial2
108,1,224,trial0
108,2,272,trial1
108,3,238,trial2
109,1,211,trial0
109,2,238,trial1
109,3,220,trial2
110,1,218,trial0
110,2,221,trial1
110,3,222,trial2
111,1,219,trial0
111,2,213,trial1
111,3,210,trial2
112,1,196,trial0
112,2,222,trial1
112,3,213,trial2
113,1,218,trial0
113,2,215,trial1
113,3,209,trial2
114,1,207,trial0
114,2,208,trial1
114,3,218,trial2
115,1,218,trial0
115,2,217,trial1
115,3,226,trial2
116,1,212,trial0
116,2,222,trial1
116,3,214,trial2
117,1,209,trial0
117,2,230,trial1
117,3,243,trial2
118,1,217,trial0
118,2,212,trial1
118,3,227,trial2
119,1,215,trial0
119,2,241,trial1
119,3,245,trial2
120,1,207,trial0
120,2,218,trial1
120,3,209,trial2
121,1,208,trial0
121,2,224,trial1
121,3,223,trial2
122,1,210,trial0
122,2,226,trial1
122,3,234,trial2
123,1,205,trial0
123,2,213,trial1
123,3,215,trial2
125,1,211,trial0
125,2,214,trial1
125,3,225,trial2
126,1,227,trial0
126,2,240,trial1
126,3,232,trial2
127,1,212,trial0
127,2,228,trial1
127,3,230,trial2
128,1,227,trial0
128,2,215,trial1
128,3,213,trial2
129,1,202,trial0
129,2,212,trial1
129,3,215,trial2
130,1,194,trial0
130,2,195,trial1
130,3,198,trial2
131,1,218,trial0
131,2,193,trial1
131,3,208,trial2
132,1,198,trial0
132,2,211,trial1
132,3,218,trial2
133,1,248,trial0
133,2,296,trial1
133,3,226,trial2
134,1,204,trial0
134,2,209,trial1
134,3,221,trial2
135,1,207,trial0
135,2,254,trial1
135,3,253,trial2
136,1,202,trial0
136,2,206,trial1
136,3,211,trial2
137,1,200,trial0
137,2,212,trial1
137,3,203,trial2
138,1,204,trial0
138,2,205,trial1
138,3,207,trial2
139,1,197,trial0
139,2,203,trial1
139,3,210,trial2
140,1,393,trial0
140,2,266,trial1
140,3,234,trial2
