couple,trial,p1_role,p2_role
001,trial1,0,1
001,trial2,1,0
002,trial1,0,1
002,trial2,1,0
003,trial1,0,1
003,trial2,1,0
004,trial1,0,1
004,trial2,1,0
005,trial1,0,1
005,trial2,1,0
006,trial1,1,0
006,trial2,0,1
007,trial1,1,0
007,trial2,0,1
008,trial1,0,1
008,trial2,1,0
009,trial1,1,0
009,trial2,0,1
010,trial1,0,1
010,trial2,1,0
011,trial1,0,1
011,trial2,1,0
012,trial1,0,1
012,trial2,1,0
014,trial1,0,1
014,trial2,1,0
015,trial1,0,1
015,trial2,1,0
016,trial1,1,0
016,trial2,0,1
018,trial1,0,1
018,trial2,1,0
019,trial1,0,1
019,trial2,1,0
021,trial1,1,0
021,trial2,0,1
022,trial1,1,0
022,trial2,0,1
023,trial1,1,0
023,trial2,0,1
024,trial1,1,0
024,trial2,0,1
028,trial1,1,0
028,trial2,0,1
029,trial1,0,1
029,trial2,1,0
030,trial1,0,1
030,trial2,1,0
031,trial1,0,1
031,trial2,1,0
032,trial1,0,1
032,trial2,1,0
033,trial1,1,0
033,trial2,0,1
034,trial1,0,1
034,trial2,1,0
035,trial1,0,1
035,trial2,1,0
037,trial1,0,1
037,trial2,1,0
081,trial1,0,1
081,trial2,1,0
082,trial1,1,0
082,trial2,0,1
083,trial1,1,0
083,trial2,0,1
084,trial1,0,1
084,trial2,1,0
085,trial1,1,0
085,trial2,0,1
087,trial1,1,0
087,trial2,0,1
088,trial1,0,1
088,trial2,1,0
089,trial1,1,0
089,trial2,0,1
090,trial1,0,1
090,trial2,1,0
091,trial1,0,1
091,trial2,1,0
092,trial1,0,1
092,trial2,1,0
093,trial1,1,0
093,trial2,0,1
094,trial1,0,1
094,trial2,1,0
095,trial1,1,0
095,trial2,0,1
096,trial1,0,1
096,trial2,1,0
097,trial1,0,1
097,trial2,1,0
098,trial1,1,0
098,trial2,0,1
101,trial1,1,0
101,trial2,0,1
102,trial1,1,0
102,trial2,0,1
103,trial1,0,1
103,trial2,1,0
104,trial1,0,1
104,trial2,1,0
105,trial1,1,0
105,trial2,0,1
106,trial1,0,1
106,trial2,1,0
107,trial1,1,0
107,trial2,0,1
108,trial1,0,1
108,trial2,1,0
109,trial1,0,1
109,trial2,1,0
110,trial1,1,0
110,trial2,0,1
111,trial1,1,0
111,trial2,0,1
112,trial1,1,0
112,trial2,0,1
113,trial1,0,1
113,trial2,1,0
114,trial1,0,1
114,trial2,1,0
115,trial1,1,0
115,trial2,0,1
